215177	37203	24196	593185	887555	341122	844729	190839	174014	269690	150677	388467	67178	625562	102806	627083	340829	881239	367755
363141	48929	14679	847483	869436	358171	770963	219182	150913	239515	157661	403132	73398	873091	67110	616123	245450	838166	335385
101907	39798	11084	468588	723800	268083	1136317	187772	168199	207401	117722	291754	69119	510061	51127	455539	86327	536135	247247
134094	31038	33809	468149	664098	276882	771798	177900	134482	228599	111567	459193	64444	479980	174673	551597	142797	642548	302362
209189	26409	16364	625485	730465	305938	811449	177056	162597	254587	147140	393348	67477	612328	90308	550318	349001	866389	363299
355914	37933	14978	894927	818702	350977	782466	240312	174218	307512	157735	452511	77116	894189	79655	560928	250436	846930	350354
105511	23837	21091	526560	669612	290779	1228767	206102	164755	223630	123535	356815	82041	577239	50231	495840	95681	568560	266571
139462	28887	13975	520683	646452	279165	853022	191315	145028	242727	122176	504747	62077	594678	184998	505130	157773	655279	326105
213066	23114	21709	645033	777528	312649	824227	248817	211401	237438	152504	420226	72197	690924	102657	558133	366149	902709	381623
335028	32067	17471	902259	811951	344801	743410	231458	212667	247717	146875	461842	71432	994778	69022	517505	277067	858356	334730
97942	22093	13507	515198	781070	267517	1271388	211433	209069	174234	108413	382481	72176	644358	41863	408358	96225	525389	253635
141337	21433	12274	500328	811568	296106	768768	199714	229369	213087	110117	571401	58425	589978	202260	499251	142877	640793	309194
206086	28254	17149	693167	891305	332404	857761	232174	237090	250710	152165	501786	80805	739834	105549	623267	379276	941455	396869
335148	42860	13856	976393	937067	358751	788613	300269	211742	262143	156861	511934	82158	971521	81651	476879	280943	872189	335204
88181	28149	21629	546890	670792	262486	1200363	232086	175068	198669	106286	382530	79489	659025	53123	440865	84395	535892	238774
134289	23331	12152	486295	573849	249299	677035	175365	166827	205533	98202	516199	55366	464509	212739	436424	133728	574896	312496
188124	27097	18686	652358	701407	290455	762119	188104	199157	230418	145221	424849	66496	647050	98097	550382	368500	853163	391825
320395	32855	13058	947679	724762	324659	752999	233916	174395	252374	141210	450973	66128	922210	81076	529081	289443	851477	353780
101069	23013	16477	543602	610468	256106	1172902	230996	163022	201839	104392	338943	69202	606633	56008	535531	111576	584383	252777
126443	17977	11340	476255	582284	248292	704323	186320	132487	185287	103458	474472	53838	505690	210376	489753	142303	594437	294423
183285	24983	12379	592784	619576	284869	731473	172791	152606	222990	136716	382288	59213	571695	99977	559839	372807	850159	359599
313612	28418	9376	898425	635819	291141	645504	206858	152899	269030	151870	410281	53748	823759	75502	493046	285859	806019	347567
81237	21503	13939	475992	454142	220974	1122544	230934	144365	206219	101856	302687	60657	504926	53872	401031	101395	526327	239526
134415	16341	8719	457758	415753	217808	641833	152610	119737	178680	98852	439289	43577	436687	229339	504618	134064	595404	292500
187567	25264	15599	609336	554655	262573	762359	181928	140399	222226	138279	364430	59158	595423	113973	577463	361079	877675	363233
298544	29666	12187	886147	560002	277925	673662	218900	129002	234997	144857	416379	51255	810635	66765	542410	287579	811288	359692
92165	17245	9933	475308	455013	212481	1037321	170958	127693	186415	96924	298025	60872	469877	52624	414263	131991	526885	230235
125210	16603	13890	461582	455804	228169	664290	172222	112826	180821	105629	486171	44372	514488	239911	478081	137043	633780	288093
177682	20928	14187	610601	516998	252272	757590	177996	145684	208334	140392	370469	55931	577956	102737	558517	374481	913089	351661
303126	26777	10185	843588	532337	278641	692103	193679	126067	218119	147512	404280	52962	773034	74284	548118	284143	836221	336122
