1975	4901	5229	3430	3699	4097	2167	3162	4660	4794	2954	4782	4739	2401	2966	3026	2100	1365	2087
2203	5514	5568	3806	4079	4539	2265	3376	4718	5411	3256	5576	5127	2587	3050	3265	2484	1386	2202
1901	5815	6447	3220	3938	4356	2100	3091	5053	7086	3195	4917	5980	2468	2783	2928	2136	1328	2072
2131	5207	5489	3486	3849	4212	2179	3181	4642	4929	3197	4912	5056	2490	2991	3034	2161	1388	2123
2056	5212	5620	3549	3915	4319	2224	3261	4680	4943	3107	4945	5023	2519	3027	3160	2209	1406	2154
2311	5904	5940	3914	4273	4857	2391	3580	5124	5784	3529	5929	5770	2741	3165	3468	2570	1454	2320
1950	6420	6751	3287	4073	4500	2132	3140	5181	7632	3291	5054	6242	2491	2839	2949	2105	1360	2109
2174	5650	5804	3586	3993	4387	2267	3293	4796	5141	3230	5146	5331	2582	3083	3166	2222	1432	2210
2168	6069	6009	3750	4137	4586	2351	3475	5132	5340	3403	5307	5501	2703	3197	3353	2331	1494	2289
2350	6413	5990	4033	4310	4984	2379	3551	5168	6066	3675	6169	5728	2793	3205	3509	2652	1472	2401
2106	6974	7451	3672	4432	4894	2291	3395	5718	8483	3743	5578	6911	2732	3039	3187	2379	1464	2308
2267	6270	6013	3740	4151	4625	2333	3415	5016	5451	3445	5417	5593	2702	3240	3310	2345	1492	2347
2204	6075	5978	3777	4121	4642	2325	3460	5183	5422	3441	5440	5454	2698	3283	3354	2343	1503	2340
2416	6780	6202	4272	4479	5230	2435	3645	5377	6314	3855	6503	6004	2893	3357	3644	2827	1529	2483
2152	7275	7820	3763	4569	5107	2336	3492	5993	9493	3908	5813	7274	2848	3169	3307	2475	1512	2388
2352	6604	6359	3901	4317	4851	2388	3694	5329	5746	3559	5689	5789	2825	3366	3428	2421	1542	2420
2292	6390	6087	3964	4300	4843	2367	3512	5460	5717	3561	5733	5683	2813	3420	3464	2377	1553	2414
2538	7352	6520	4498	4628	5436	2480	3711	5620	6520	3912	6791	6291	3025	3511	3755	2852	1588	2565
2209	7914	8105	3905	4646	5204	2339	3555	6109	9456	3910	6037	7421	2913	3266	3411	2504	1544	2454
2413	7018	6422	4036	4369	4899	2376	3550	5417	5771	3553	5893	5795	2865	3462	3517	2487	1564	2476
2350	6789	6359	4117	4370	4951	2360	3558	5668	5744	3552	5928	5790	2870	3546	3569	2493	1574	2473
2598	7411	6650	4715	4730	5476	2419	3848	5547	6466	3874	6849	6217	3091	3599	3879	2910	1561	2606
2157	7589	7946	3860	4530	5090	2250	3453	5864	7727	3616	5973	6827	2846	3335	3441	2429	1460	2409
2395	6531	6473	3966	4284	4788	2292	3487	5260	5617	3444	5851	5634	2876	3543	3551	2402	1510	2450
2328	6622	6305	4092	4350	4830	2314	3495	5502	5640	3438	5884	5671	2811	3579	3602	2460	1535	2443
2612	7660	7062	4616	4941	5527	2491	3860	5873	6682	3894	6967	6411	3111	3694	4046	3004	1576	2633
2128	8257	7855	3759	4648	5096	2216	3453	5969	8512	3657	6017	7289	2821	3297	3373	2406	1465	2379
2436	6944	6655	4029	4617	5019	2379	3634	5479	6026	3570	6056	6101	2914	3604	3633	2476	1577	2493
2413	6995	6648	4179	4709	5138	2396	3694	6028	5990	3675	6196	6058	2924	3737	3735	2544	1603	2519
2688	8123	7277	4659	5258	5838	2544	4003	6083	7152	4155	7409	6966	3213	3833	4119	3030	1640	2700
2228	8745	8369	3876	5077	5472	2330	3662	6530	9532	3966	6559	7965	2924	3434	3505	2367	1525	2461
2496	7412	7018	4136	4789	5286	2397	3745	5737	6186	3788	6413	6383	2965	3716	3721	2497	1605	2548
2538	7747	7186	4394	4932	5438	2520	3860	6421	6429	3946	6530	6369	3089	3905	3923	2515	1670	2629
2722	7960	7226	4585	5096	5812	2501	3914	6046	7037	4151	7314	6764	3130	3798	4001	2946	1621	2662
2378	9131	8922	4140	5363	5829	2480	3918	6913	9540	4312	6864	8494	3150	3586	3743	2572	1617	2584
2603	7523	7116	4253	4878	5360	2444	3823	5932	6417	3894	6536	6535	3061	3788	3782	2524	1643	2593
2544	7498	7046	4325	4862	5381	2477	3816	6523	6401	3917	6493	6416	3048	3851	3849	2589	1654	2593
2878	8462	7747	4840	5254	6080	2579	4038	6660	7874	4491	7954	7309	3286	3917	4132	4969	1673	2749
2436	8997	9222	4189	5339	5808	2511	3980	7389	9684	4372	6900	8635	3127	3655	3733	2554	1623	2784
